task_name,standard_task_id,task_id,search_result,search_result3,search_result2
Обварка м/к фундаментов и ростверков после их монтажа (эстакада),152,,152,мк ростверков фундаментов изготовление конструктивных,мк ростверков фундаментов изготовление конструктивных
Обратная засыпка грунта бульдозером,44,,44,обратная засыпка грунта бульдозером экскаватором,обратная засыпка грунта бульдозером экскаватором
Подливка закладных деталей и анкеров,127,,127,деталей закладных анкеров подливка анкерных,деталей закладных анкеров подливка анкерных
Разработка грунта бульдозером,19,,19,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Разработка грунта вручную,18,,18,разработка грунта скального бульдозером экскаватором,разработка грунта скального бульдозером экскаватором
Статическое испытание грунтов сваями,106,,106,грунтов скальных рыхление водой сваями,грунтов скальных рыхление водой сваями
Устройство бетонной подготовки,118,,118,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай (эстакада, шт),96.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай (эстакада, метр. куб.),101.0,96,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
АКЗ м/к лакокрасочным покрытием (сваи),206,,207,поверхности лакокрасочным покрытием акз очистка,поверхности лакокрасочным покрытием акз очистка
Армирование и бетонирование монолитных участков из бетона,705,,705,армирование монолитных участков бетона конструкций,армирование монолитных участков бетона конструкций
Армирование монолитных железобетонных конструкций (кабельные лотки),117,,117,армирование монолитных участков бетона конструкций,армирование монолитных участков бетона конструкций
Бетонирование отдельных конструкций в мелкощитовой опалубке (кабельные лотки),125,,125,бетонирование фундаментов перекрытия полов оборудование,бетонирование фундаментов перекрытия полов оборудование
Изготовление металлических свай (опоры изоляторов, шт),148.0,147,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Изготовление металлических свай, тн (опоры изоляторов),147.0,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических,изготовление свай армокаркаса оголовков металлических
Кладка конструкций из кирпича,144,,144,кладка кирпича стен пеноблоков пазогребневых,кладка кирпича стен пеноблоков пазогребневых
Монтаж железобетонных лотков (шт),720,,720,лотков железобетонных монтаж перекрытий водоотводных,лотков железобетонных монтаж перекрытий водоотводных
Монтаж железобетонных лотков (м. куб.),722,,720,лотков железобетонных монтаж перекрытий водоотводных,лотков железобетонных монтаж перекрытий водоотводных
"Монтаж фундаментных, стеновых блоков и плит",133,,133,фундаментных стеновых плит блоков демонтаж,фундаментных стеновых плит блоков демонтаж
"Устройство основания (песчаное, щебень, ПГС)",39,,39,устройство газонов стяжки отмостки бетонной,устройство газонов стяжки отмостки бетонной
Устройство основания из буроопускных металлических свай, штучно (опоры изоляторов),96.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство основания из буроопускных металлических свай, м3 (опоры изоляторов),101.0,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных,металлических свай основания устройство буроопускных
Устройство теплоизоляционного экрана,73,,73,экрана теплоизоляционного устройство демонтаж эхз,экрана теплоизоляционного устройство демонтаж эхз
